date,tp,t2m,ssr,str,sp
3/5/1984,3.23,271.3911507,11503730.56,-6238391.977,70314.37497
3/6/1984,4.25,270.1115601,12257455.96,-6825801.894,70310.24883
3/7/1984,1.51,270.4722981,13528166.45,-7633252.577,70465.74008
3/8/1984,1.36,270.6504578,13296528.93,-7419592.086,70413.98647
3/9/1984,2.34,271.0178453,13442225.66,-7172951.096,70240.95093
3/10/1984,2.87,270.7378521,12280805.69,-6871562.999,70295.41809
3/11/1984,2.24,269.7902504,12450942.77,-7396186.863,70472.14167
3/12/1984,4.54,271.3499014,12918841.2,-6562207.869,70336.50308
3/13/1984,5.64,271.4346228,12720723.6,-6361821.575,70353.72539
3/14/1984,4.94,272.1453528,12712608.87,-6404240.209,70424.55012
3/15/1984,3.62,270.3166105,12733072.63,-6986597.071,70798.62975
3/16/1984,0.33,270.6804881,14832243.28,-8066928.838,70891.28309
3/17/1984,0.24,272.1325095,15362320.91,-8449002.057,70827.0544
3/18/1984,1.42,273.3107768,14351636.16,-7042361.401,70585.62115
3/19/1984,2.47,274.2465332,13662480,-6465241.777,70516.61041
3/20/1984,6.42,271.9374015,13734333.32,-7044092.562,70486.91423
3/21/1984,3.1,270.3791993,14568412.65,-7927400.619,70709.33385
3/22/1984,0.59,269.3005985,15310228.66,-8624596.781,70823.18044
3/23/1984,0.2,271.4384659,17021374.69,-9092229.053,70709.07634
3/24/1984,1.32,273.2197285,15036163.53,-7263075.263,70735.59634
3/25/1984,1.78,274.3934718,14632980.61,-6871052.546,70632.02776
3/26/1984,5.21,274.8227566,12261779.22,-5613299.905,70614.59808
3/27/1984,9.49,274.0150897,11068059.05,-5109208.027,70606.33509
3/28/1984,11.08,273.1273349,12272618.36,-5860950.435,70843.78306
3/29/1984,1.91,272.3260341,14224005.67,-7627545.002,70784.6411
3/30/1984,1.63,275.1439361,15038961.2,-6805532.962,70643.86134
3/31/1984,6.32,275.7567239,13514547.32,-5750604.058,70753.52118
4/1/1984,5.4,275.5877212,12540570.45,-5645070.331,70773.79612
